Year,Destination,Trips_Thousand
2010,Spain,1371.0
2010,France,635.0
2010,United Kingdom (includes Great Britain & Northern Ireland),2343.0
2010,Portugal,333.0
2010,United States and Canada,452.0
2010,Great Britain,1960.0
2010,Northern Ireland,383.0
2010,Other Europe (22),818.0
2011,Spain,1410.0
2011,France,496.0
2011,United Kingdom (includes Great Britain & Northern Ireland),2304.0
2011,Portugal,337.0
2011,United States and Canada,410.0
2011,Great Britain,1934.0
2011,Northern Ireland,370.0
2011,Other Europe (22),781.0
2012,Spain,1339.0
2012,France,630.0
2012,United Kingdom (includes Great Britain & Northern Ireland),2237.0
2012,Portugal,351.0
2012,United States and Canada,388.0
2012,Great Britain,1784.0
2012,Northern Ireland,453.0
2012,Other Europe (22),772.0
2013,Spain,1367.0
2013,France,538.0
2013,United Kingdom (includes Great Britain & Northern Ireland),2407.0
2013,Portugal,322.0
2013,United States and Canada,404.0
2013,Great Britain,2011.0
2013,Northern Ireland,396.0
2013,Other Europe (22),724.0
2014,Spain,1290.0
2014,France,586.0
2014,United Kingdom (includes Great Britain & Northern Ireland),2355.0
2014,Portugal,370.0
2014,United States and Canada,453.0
2014,Great Britain,1965.0
2014,Northern Ireland,390.0
2014,Other Europe (22),781.0
2015,Spain,1552.0
2015,France,632.0
2015,United Kingdom (includes Great Britain & Northern Ireland),2269.0
2015,Portugal,313.0
2015,United States and Canada,422.0
2015,Great Britain,1933.0
2015,Northern Ireland,336.0
2015,Other Europe (22),955.0
2016,Spain,1587.0
2016,France,610.0
2016,United Kingdom (includes Great Britain & Northern Ireland),2463.0
2016,Portugal,479.0
2016,United States and Canada,492.0
2016,Great Britain,2009.0
2016,Northern Ireland,454.0
2016,Other Europe (22),1007.0
2017,Spain,1758.0
2017,France,550.0
2017,United Kingdom (includes Great Britain & Northern Ireland),2597.0
2017,Portugal,526.0
2017,United States and Canada,558.0
2017,Great Britain,2114.0
2017,Northern Ireland,482.0
2017,Other Europe (22),1135.0
2018,Spain,1786.0
2018,France,651.0
2018,United Kingdom (includes Great Britain & Northern Ireland),2728.0
2018,Portugal,418.0
2018,United States and Canada,546.0
2018,Great Britain,2137.0
2018,Northern Ireland,591.0
2018,Other Europe (22),1238.0
2019,Spain,1881.0
2019,France,610.0
2019,United Kingdom (includes Great Britain & Northern Ireland),3059.0
2019,Portugal,522.0
2019,United States and Canada,584.0
2019,Great Britain,2304.0
2019,Northern Ireland,756.0
2019,Other Europe (22),1349.0
2021,Spain,272.0
2021,France,149.0
2021,United Kingdom (includes Great Britain & Northern Ireland),1083.0
2021,Portugal,116.0
2021,United States and Canada,48.0
2021,Great Britain,535.0
2021,Northern Ireland,548.0
2021,Other Europe (22),398.0
2022,Spain,1669.0
2022,France,598.0
2022,United Kingdom (includes Great Britain & Northern Ireland),2550.0
2022,Portugal,481.0
2022,United States and Canada,426.0
2022,Great Britain,1653.0
2022,Northern Ireland,897.0
2022,Other Europe (22),1634.0
2023,Spain,2266.0
2023,France,1022.0
2023,United Kingdom (includes Great Britain & Northern Ireland),4412.0
2023,Portugal,709.0
2023,United States and Canada,656.0
2023,Great Britain,3099.0
2023,Northern Ireland,1313.0
2023,Other Europe (22),1991.0
2024,Spain,3164.0
2024,France,926.0
2024,United Kingdom (includes Great Britain & Northern Ireland),4241.0
2024,Portugal,777.0
2024,United States and Canada,508.0
2024,Great Britain,3112.0
2024,Northern Ireland,1129.0
2024,Other Europe (22),2075.0
